Table 1,Offender Count,Ethnicity,Age Group,Police District
1 Age Ethnicity Boundary,1,Maori,25-29,Auckland City
1 Age Ethnicity Boundary,1,Maori,15-19,Auckland City
1 Age Ethnicity Boundary,1,Maori,10-14,Auckland City
1 Age Ethnicity Boundary,1,Maori,15-19,Auckland City
1 Age Ethnicity Boundary,1,Maori,25-29,Auckland City
1 Age Ethnicity Boundary,1,Maori,30-34,Auckland City
1 Age Ethnicity Boundary,1,Maori,15-19,Auckland City
1 Age Ethnicity Boundary,1,Maori,25-29,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,50-54,Bay Of Plenty
1 Age Ethnicity Boundary,2,Maori,10-14,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,10-14,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,10-14,Bay Of Plenty
1 Age Ethnicity Boundary,2,Maori,15-19,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,15-19,Bay Of Plenty
1 Age Ethnicity Boundary,2,Maori,15-19,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,30-34,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,35-39,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,35-39,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,25-29,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,40-44,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,45-49,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,10-14,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,10-14,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,20-24,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,25-29,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,25-29,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,10-14,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,20-24,Bay Of Plenty
1 Age Ethnicity Boundary,2,Maori,10-14,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,10-14,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,10-14,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,10-14,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,15-19,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,20-24,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,25-29,Bay Of Plenty
1 Age Ethnicity Boundary,2,Maori,25-29,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,30-34,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,35-39,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,45-49,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,70-74,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,15-19,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,10-14,Bay Of Plenty
1 Age Ethnicity Boundary,2,Maori,15-19,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,10-14,Canterbury
1 Age Ethnicity Boundary,1,Maori,45-49,Canterbury
1 Age Ethnicity Boundary,1,Maori,15-19,Canterbury
1 Age Ethnicity Boundary,1,Maori,15-19,Canterbury
1 Age Ethnicity Boundary,1,Maori,20-24,Canterbury
1 Age Ethnicity Boundary,1,Maori,30-34,Canterbury
1 Age Ethnicity Boundary,1,Maori,30-34,Canterbury
1 Age Ethnicity Boundary,1,Maori,25-29,Canterbury
1 Age Ethnicity Boundary,1,Maori,20-24,Canterbury
1 Age Ethnicity Boundary,1,Maori,10-14,Canterbury
1 Age Ethnicity Boundary,1,Maori,10-14,Canterbury
1 Age Ethnicity Boundary,1,Maori,35-39,Canterbury
1 Age Ethnicity Boundary,1,Maori,10-14,Central
1 Age Ethnicity Boundary,1,Maori,30-34,Central
1 Age Ethnicity Boundary,1,Maori,55-59,Central
1 Age Ethnicity Boundary,1,Maori,10-14,Central
1 Age Ethnicity Boundary,1,Maori,10-14,Central
1 Age Ethnicity Boundary,1,Maori,15-19,Central
1 Age Ethnicity Boundary,1,Maori,20-24,Central
1 Age Ethnicity Boundary,1,Maori,35-39,Central
1 Age Ethnicity Boundary,1,Maori,20-24,Central
1 Age Ethnicity Boundary,1,Maori,65-69,Central
1 Age Ethnicity Boundary,1,Maori,15-19,Central
1 Age Ethnicity Boundary,1,Maori,25-29,Central
1 Age Ethnicity Boundary,1,Maori,35-39,Central
1 Age Ethnicity Boundary,1,Maori,40-44,Central
1 Age Ethnicity Boundary,1,Maori,15-19,Central
1 Age Ethnicity Boundary,1,Maori,10-14,Central
1 Age Ethnicity Boundary,1,Maori,15-19,Central
1 Age Ethnicity Boundary,1,Maori,25-29,Central
1 Age Ethnicity Boundary,1,Maori,25-29,Central
1 Age Ethnicity Boundary,1,Maori,35-39,Central
1 Age Ethnicity Boundary,1,Maori,35-39,Central
1 Age Ethnicity Boundary,1,Maori,50-54,Central
1 Age Ethnicity Boundary,1,Maori,10-14,Central
1 Age Ethnicity Boundary,1,Maori,10-14,Counties/Manukau
1 Age Ethnicity Boundary,1,Maori,15-19,Counties/Manukau
1 Age Ethnicity Boundary,1,Maori,25-29,Counties/Manukau
1 Age Ethnicity Boundary,1,Maori,25-29,Counties/Manukau
1 Age Ethnicity Boundary,1,Maori,35-39,Counties/Manukau
1 Age Ethnicity Boundary,1,Maori,10-14,Counties/Manukau
1 Age Ethnicity Boundary,1,Maori,10-14,Counties/Manukau
1 Age Ethnicity Boundary,1,Maori,15-19,Counties/Manukau
1 Age Ethnicity Boundary,1,Maori,20-24,Counties/Manukau
1 Age Ethnicity Boundary,1,European,10-14,Eastern
1 Age Ethnicity Boundary,1,European,15-19,Waikato
1 Age Ethnicity Boundary,1,European,10-14,Waitemata
1 Age Ethnicity Boundary,2,Maori,15-19,Auckland City
1 Age Ethnicity Boundary,1,Maori,15-19,Canterbury
1 Age Ethnicity Boundary,1,Maori,15-19,Canterbury
1 Age Ethnicity Boundary,1,Maori,10-14,Central
1 Age Ethnicity Boundary,1,Maori,40-44,Central
1 Age Ethnicity Boundary,1,Maori,10-14,Eastern
1 Age Ethnicity Boundary,2,Maori,15-19,Eastern
1 Age Ethnicity Boundary,1,Maori,15-19,Northland
1 Age Ethnicity Boundary,1,Maori,15-19,Northland
1 Age Ethnicity Boundary,1,Maori,10-14,Northland
1 Age Ethnicity Boundary,1,Maori,10-14,Southern
1 Age Ethnicity Boundary,1,Maori,15-19,Southern
1 Age Ethnicity Boundary,1,Maori,15-19,Tasman
1 Age Ethnicity Boundary,1,Maori,10-14,Waikato
1 Age Ethnicity Boundary,1,Maori,15-19,Waikato
1 Age Ethnicity Boundary,1,Maori,15-19,Waikato
1 Age Ethnicity Boundary,1,Not Elsewhere Classified,10-14,Waitemata
1 Age Ethnicity Boundary,1,Pacific Island,10-14,Counties/Manukau
1 Age Ethnicity Boundary,1,Pacific Island,15-19,Counties/Manukau
1 Age Ethnicity Boundary,1,Maori,15-19,Southern
1 Age Ethnicity Boundary,1,Maori,15-19,Southern
1 Age Ethnicity Boundary,1,Maori,20-24,Southern
1 Age Ethnicity Boundary,1,Maori,40-44,Southern
1 Age Ethnicity Boundary,1,Maori,15-19,Tasman
1 Age Ethnicity Boundary,1,Maori,25-29,Tasman
1 Age Ethnicity Boundary,1,Maori,25-29,Tasman
1 Age Ethnicity Boundary,1,Maori,30-34,Tasman
1 Age Ethnicity Boundary,1,Maori,30-34,Tasman
1 Age Ethnicity Boundary,1,Maori,35-39,Tasman
1 Age Ethnicity Boundary,1,Maori,35-39,Tasman
1 Age Ethnicity Boundary,1,Maori,55-59,Tasman
1 Age Ethnicity Boundary,1,Maori,10-14,Tasman
1 Age Ethnicity Boundary,1,Maori,10-14,Tasman
1 Age Ethnicity Boundary,1,Maori,20-24,Tasman
1 Age Ethnicity Boundary,1,Maori,20-24,Tasman
1 Age Ethnicity Boundary,1,Maori,20-24,Tasman
1 Age Ethnicity Boundary,3,Maori,20-24,Tasman
1 Age Ethnicity Boundary,1,Maori,25-29,Tasman
1 Age Ethnicity Boundary,1,Maori,25-29,Tasman
1 Age Ethnicity Boundary,1,Maori,25-29,Tasman
1 Age Ethnicity Boundary,1,Maori,25-29,Tasman
1 Age Ethnicity Boundary,1,Maori,25-29,Tasman
1 Age Ethnicity Boundary,1,Maori,25-29,Tasman
1 Age Ethnicity Boundary,1,Maori,25-29,Tasman
1 Age Ethnicity Boundary,2,Maori,30-34,Tasman
1 Age Ethnicity Boundary,3,Maori,30-34,Tasman
1 Age Ethnicity Boundary,5,Maori,30-34,Tasman
1 Age Ethnicity Boundary,2,Maori,30-34,Tasman
1 Age Ethnicity Boundary,1,Maori,35-39,Tasman
1 Age Ethnicity Boundary,2,Maori,35-39,Tasman
1 Age Ethnicity Boundary,2,Maori,35-39,Tasman
1 Age Ethnicity Boundary,1,Maori,40-44,Tasman
1 Age Ethnicity Boundary,2,Maori,40-44,Tasman
1 Age Ethnicity Boundary,2,Maori,40-44,Tasman
1 Age Ethnicity Boundary,2,Maori,45-49,Tasman
1 Age Ethnicity Boundary,1,Maori,50-54,Tasman
1 Age Ethnicity Boundary,1,Maori,50-54,Tasman
1 Age Ethnicity Boundary,1,Maori,55-59,Tasman
1 Age Ethnicity Boundary,2,Maori,15-19,Tasman
1 Age Ethnicity Boundary,1,Maori,20-24,Tasman
1 Age Ethnicity Boundary,2,Maori,20-24,Tasman
1 Age Ethnicity Boundary,2,Maori,25-29,Tasman
1 Age Ethnicity Boundary,1,Maori,30-34,Tasman
1 Age Ethnicity Boundary,1,Maori,60-64,Tasman
1 Age Ethnicity Boundary,1,Maori,20-24,Tasman
1 Age Ethnicity Boundary,1,Maori,25-29,Tasman
1 Age Ethnicity Boundary,1,Maori,25-29,Tasman
1 Age Ethnicity Boundary,1,Maori,35-39,Tasman
1 Age Ethnicity Boundary,2,Maori,35-39,Tasman
1 Age Ethnicity Boundary,1,Maori,20-24,Tasman
1 Age Ethnicity Boundary,1,Maori,40-44,Tasman
1 Age Ethnicity Boundary,2,Maori,50-54,Tasman
1 Age Ethnicity Boundary,1,Maori,55-59,Tasman
1 Age Ethnicity Boundary,1,Maori,20-24,Tasman
1 Age Ethnicity Boundary,1,Maori,25-29,Tasman
1 Age Ethnicity Boundary,3,Maori,30-34,Tasman
1 Age Ethnicity Boundary,1,Maori,30-34,Tasman
1 Age Ethnicity Boundary,2,Maori,35-39,Tasman
1 Age Ethnicity Boundary,1,Maori,40-44,Tasman
1 Age Ethnicity Boundary,1,Maori,45-49,Tasman
1 Age Ethnicity Boundary,1,Maori,55-59,Tasman
1 Age Ethnicity Boundary,1,Maori,10-14,Tasman
1 Age Ethnicity Boundary,1,Maori,20-24,Tasman
1 Age Ethnicity Boundary,3,Maori,25-29,Tasman
1 Age Ethnicity Boundary,1,Maori,45-49,Tasman
1 Age Ethnicity Boundary,1,Maori,10-14,Tasman
1 Age Ethnicity Boundary,1,Maori,15-19,Tasman
1 Age Ethnicity Boundary,2,Maori,15-19,Tasman
1 Age Ethnicity Boundary,1,Maori,25-29,Tasman
1 Age Ethnicity Boundary,1,Maori,40-44,Tasman
1 Age Ethnicity Boundary,1,Maori,35-39,Tasman
1 Age Ethnicity Boundary,1,Maori,30-34,Tasman
1 Age Ethnicity Boundary,1,Maori,15-19,Tasman
1 Age Ethnicity Boundary,1,Maori,20-24,Tasman
1 Age Ethnicity Boundary,1,Maori,25-29,Central
1 Age Ethnicity Boundary,1,Maori,25-29,Central
1 Age Ethnicity Boundary,1,Maori,30-34,Central
1 Age Ethnicity Boundary,1,Maori,15-19,Central
1 Age Ethnicity Boundary,1,Maori,25-29,Central
1 Age Ethnicity Boundary,1,Maori,25-29,Central
1 Age Ethnicity Boundary,2,Maori,30-34,Central
1 Age Ethnicity Boundary,2,Maori,30-34,Central
1 Age Ethnicity Boundary,1,Maori,20-24,Central
1 Age Ethnicity Boundary,1,Maori,45-49,Central
1 Age Ethnicity Boundary,1,Maori,35-39,Central
1 Age Ethnicity Boundary,2,Maori,15-19,Central
1 Age Ethnicity Boundary,4,Maori,15-19,Central
1 Age Ethnicity Boundary,1,Maori,20-24,Central
1 Age Ethnicity Boundary,1,Maori,25-29,Central
1 Age Ethnicity Boundary,1,Maori,25-29,Central
1 Age Ethnicity Boundary,2,Maori,15-19,Central
1 Age Ethnicity Boundary,1,Maori,25-29,Central
1 Age Ethnicity Boundary,1,Maori,30-34,Central
1 Age Ethnicity Boundary,1,Maori,30-34,Central
1 Age Ethnicity Boundary,1,Maori,30-34,Central
1 Age Ethnicity Boundary,2,Maori,35-39,Central
1 Age Ethnicity Boundary,1,Maori,40-44,Central
1 Age Ethnicity Boundary,1,Maori,40-44,Central
1 Age Ethnicity Boundary,1,Maori,45-49,Central
1 Age Ethnicity Boundary,1,Maori,50-54,Central
1 Age Ethnicity Boundary,1,Maori,30-34,Central
1 Age Ethnicity Boundary,1,Maori,35-39,Central
1 Age Ethnicity Boundary,1,Maori,40-44,Central
1 Age Ethnicity Boundary,1,Maori,15-19,Central
1 Age Ethnicity Boundary,1,Maori,15-19,Central
1 Age Ethnicity Boundary,2,Maori,15-19,Central
1 Age Ethnicity Boundary,1,Maori,20-24,Central
1 Age Ethnicity Boundary,3,Maori,25-29,Central
1 Age Ethnicity Boundary,2,Maori,30-34,Central
1 Age Ethnicity Boundary,1,Maori,30-34,Central
1 Age Ethnicity Boundary,1,Maori,30-34,Central
1 Age Ethnicity Boundary,1,Maori,35-39,Central
1 Age Ethnicity Boundary,1,Maori,35-39,Central
1 Age Ethnicity Boundary,1,Maori,40-44,Central
1 Age Ethnicity Boundary,2,Maori,20-24,Counties/Manukau
1 Age Ethnicity Boundary,2,Maori,20-24,Counties/Manukau
1 Age Ethnicity Boundary,1,Maori,25-29,Counties/Manukau
1 Age Ethnicity Boundary,2,Maori,25-29,Counties/Manukau
1 Age Ethnicity Boundary,1,Maori,30-34,Counties/Manukau
1 Age Ethnicity Boundary,1,Maori,30-34,Counties/Manukau
1 Age Ethnicity Boundary,1,Maori,35-39,Counties/Manukau
1 Age Ethnicity Boundary,1,Maori,35-39,Counties/Manukau
1 Age Ethnicity Boundary,1,Maori,40-44,Counties/Manukau
1 Age Ethnicity Boundary,1,Maori,50-54,Counties/Manukau
1 Age Ethnicity Boundary,1,Maori,15-19,Counties/Manukau
1 Age Ethnicity Boundary,1,Maori,15-19,Counties/Manukau
1 Age Ethnicity Boundary,1,Maori,15-19,Counties/Manukau
1 Age Ethnicity Boundary,1,Maori,15-19,Counties/Manukau
1 Age Ethnicity Boundary,2,Maori,20-24,Counties/Manukau
1 Age Ethnicity Boundary,1,Maori,20-24,Counties/Manukau
1 Age Ethnicity Boundary,2,Maori,20-24,Counties/Manukau
1 Age Ethnicity Boundary,1,Maori,20-24,Counties/Manukau
1 Age Ethnicity Boundary,1,Maori,20-24,Counties/Manukau
1 Age Ethnicity Boundary,1,Maori,25-29,Counties/Manukau
1 Age Ethnicity Boundary,2,Maori,25-29,Counties/Manukau
1 Age Ethnicity Boundary,1,Maori,25-29,Counties/Manukau
1 Age Ethnicity Boundary,1,Maori,25-29,Counties/Manukau
1 Age Ethnicity Boundary,1,Maori,25-29,Counties/Manukau
1 Age Ethnicity Boundary,2,Maori,25-29,Counties/Manukau
1 Age Ethnicity Boundary,1,Asian,40-44,Auckland City
1 Age Ethnicity Boundary,1,Asian,15-19,Canterbury
1 Age Ethnicity Boundary,1,Asian,40-44,Canterbury
1 Age Ethnicity Boundary,1,Asian,35-39,Canterbury
1 Age Ethnicity Boundary,1,African,25-29,Auckland City
1 Age Ethnicity Boundary,1,African,30-34,Auckland City
1 Age Ethnicity Boundary,1,African,25-29,Auckland City
1 Age Ethnicity Boundary,1,African,25-29,Auckland City
1 Age Ethnicity Boundary,1,African,30-34,Auckland City
1 Age Ethnicity Boundary,1,African,30-34,Auckland City
1 Age Ethnicity Boundary,1,African,35-39,Auckland City
1 Age Ethnicity Boundary,1,African,25-29,Auckland City
1 Age Ethnicity Boundary,1,African,20-24,Counties/Manukau
1 Age Ethnicity Boundary,1,African,20-24,Counties/Manukau
1 Age Ethnicity Boundary,1,African,25-29,Counties/Manukau
1 Age Ethnicity Boundary,1,African,35-39,Counties/Manukau
1 Age Ethnicity Boundary,1,African,35-39,Eastern
1 Age Ethnicity Boundary,1,African,35-39,Waikato
1 Age Ethnicity Boundary,1,African,20-24,Waikato
1 Age Ethnicity Boundary,1,African,40-44,Waitemata
1 Age Ethnicity Boundary,1,African,25-29,Wellington
1 Age Ethnicity Boundary,1,African,35-39,Wellington
1 Age Ethnicity Boundary,1,African,15-19,Wellington
1 Age Ethnicity Boundary,1,Organisation,NotApplicable,Counties/Manukau
1 Age Ethnicity Boundary,2,Organisation,NotApplicable,Canterbury
1 Age Ethnicity Boundary,2,Organisation,NotApplicable,Canterbury
1 Age Ethnicity Boundary,1,Organisation,NotApplicable,Waikato
1 Age Ethnicity Boundary,2,Organisation,NotApplicable,Waitemata
1 Age Ethnicity Boundary,1,Asian,25-29,Auckland City
1 Age Ethnicity Boundary,1,Asian,35-39,Auckland City
1 Age Ethnicity Boundary,1,Asian,45-49,Auckland City
1 Age Ethnicity Boundary,1,Asian,20-24,Auckland City
1 Age Ethnicity Boundary,1,Asian,20-24,Auckland City
1 Age Ethnicity Boundary,1,Asian,20-24,Auckland City
1 Age Ethnicity Boundary,2,Asian,25-29,Auckland City
1 Age Ethnicity Boundary,1,Asian,25-29,Auckland City
1 Age Ethnicity Boundary,1,Asian,30-34,Auckland City
1 Age Ethnicity Boundary,1,Asian,30-34,Auckland City
1 Age Ethnicity Boundary,1,Asian,35-39,Auckland City
1 Age Ethnicity Boundary,1,Asian,35-39,Auckland City
1 Age Ethnicity Boundary,1,Asian,40-44,Auckland City
1 Age Ethnicity Boundary,1,Asian,50-54,Auckland City
1 Age Ethnicity Boundary,1,Asian,55-59,Auckland City
1 Age Ethnicity Boundary,1,Asian,55-59,Auckland City
1 Age Ethnicity Boundary,1,Asian,15-19,Auckland City
1 Age Ethnicity Boundary,1,Asian,45-49,Auckland City
1 Age Ethnicity Boundary,1,Asian,25-29,Auckland City
1 Age Ethnicity Boundary,1,Asian,25-29,Auckland City
1 Age Ethnicity Boundary,1,Asian,40-44,Auckland City
1 Age Ethnicity Boundary,1,Asian,40-44,Auckland City
1 Age Ethnicity Boundary,1,Asian,45-49,Auckland City
1 Age Ethnicity Boundary,1,Asian,50-54,Auckland City
1 Age Ethnicity Boundary,1,Asian,15-19,Auckland City
1 Age Ethnicity Boundary,1,Asian,25-29,Auckland City
1 Age Ethnicity Boundary,1,Asian,40-44,Auckland City
1 Age Ethnicity Boundary,1,Asian,20-24,Auckland City
1 Age Ethnicity Boundary,1,Asian,55-59,Auckland City
1 Age Ethnicity Boundary,1,Asian,15-19,Auckland City
1 Age Ethnicity Boundary,1,Asian,15-19,Auckland City
1 Age Ethnicity Boundary,3,Asian,20-24,Auckland City
1 Age Ethnicity Boundary,2,Asian,20-24,Auckland City
1 Age Ethnicity Boundary,1,Asian,25-29,Auckland City
1 Age Ethnicity Boundary,1,Asian,25-29,Auckland City
1 Age Ethnicity Boundary,3,Asian,25-29,Auckland City
1 Age Ethnicity Boundary,1,Asian,25-29,Auckland City
1 Age Ethnicity Boundary,1,Asian,25-29,Auckland City
1 Age Ethnicity Boundary,1,Asian,25-29,Auckland City
1 Age Ethnicity Boundary,2,Asian,25-29,Auckland City
1 Age Ethnicity Boundary,1,Asian,30-34,Auckland City
1 Age Ethnicity Boundary,3,Asian,30-34,Auckland City
1 Age Ethnicity Boundary,1,Asian,30-34,Auckland City
1 Age Ethnicity Boundary,3,Asian,30-34,Auckland City
1 Age Ethnicity Boundary,1,Asian,30-34,Auckland City
1 Age Ethnicity Boundary,2,Asian,30-34,Auckland City
1 Age Ethnicity Boundary,7,Asian,35-39,Auckland City
1 Age Ethnicity Boundary,7,Asian,35-39,Auckland City
1 Age Ethnicity Boundary,3,Asian,35-39,Auckland City
1 Age Ethnicity Boundary,1,Asian,40-44,Auckland City
1 Age Ethnicity Boundary,5,Asian,40-44,Auckland City
1 Age Ethnicity Boundary,1,Asian,40-44,Auckland City
1 Age Ethnicity Boundary,6,Asian,40-44,Auckland City
1 Age Ethnicity Boundary,1,Asian,40-44,Auckland City
1 Age Ethnicity Boundary,2,Asian,40-44,Auckland City
1 Age Ethnicity Boundary,1,Asian,45-49,Auckland City
1 Age Ethnicity Boundary,1,Asian,45-49,Auckland City
1 Age Ethnicity Boundary,2,Asian,45-49,Auckland City
1 Age Ethnicity Boundary,1,Asian,45-49,Auckland City
1 Age Ethnicity Boundary,1,Asian,50-54,Auckland City
1 Age Ethnicity Boundary,1,Asian,50-54,Auckland City
1 Age Ethnicity Boundary,1,Asian,55-59,Auckland City
1 Age Ethnicity Boundary,1,Asian,55-59,Auckland City
1 Age Ethnicity Boundary,1,Asian,55-59,Auckland City
1 Age Ethnicity Boundary,1,Asian,65-69,Auckland City
1 Age Ethnicity Boundary,1,Asian,65-69,Auckland City
1 Age Ethnicity Boundary,1,Asian,50-54,Bay Of Plenty
1 Age Ethnicity Boundary,1,Asian,35-39,Bay Of Plenty
1 Age Ethnicity Boundary,1,Asian,30-34,Bay Of Plenty
1 Age Ethnicity Boundary,1,Asian,35-39,Bay Of Plenty
1 Age Ethnicity Boundary,1,Asian,40-44,Canterbury
1 Age Ethnicity Boundary,1,Asian,15-19,Canterbury
1 Age Ethnicity Boundary,1,Asian,25-29,Canterbury
1 Age Ethnicity Boundary,1,Asian,40-44,Canterbury
1 Age Ethnicity Boundary,1,Asian,35-39,Canterbury
1 Age Ethnicity Boundary,1,Asian,55-59,Central
1 Age Ethnicity Boundary,1,Asian,70-74,Central
1 Age Ethnicity Boundary,1,Asian,45-49,Central
1 Age Ethnicity Boundary,1,Asian,20-24,Central
1 Age Ethnicity Boundary,1,Asian,30-34,Central
1 Age Ethnicity Boundary,1,Asian,40-44,Central
1 Age Ethnicity Boundary,1,Asian,40-44,Central
1 Age Ethnicity Boundary,1,Asian,40-44,Counties/Manukau
1 Age Ethnicity Boundary,1,Asian,20-24,Counties/Manukau
1 Age Ethnicity Boundary,1,Asian,25-29,Counties/Manukau
1 Age Ethnicity Boundary,4,Asian,25-29,Counties/Manukau
1 Age Ethnicity Boundary,1,Asian,30-34,Counties/Manukau
1 Age Ethnicity Boundary,1,Asian,30-34,Counties/Manukau
1 Age Ethnicity Boundary,6,Asian,30-34,Counties/Manukau
1 Age Ethnicity Boundary,1,Asian,30-34,Counties/Manukau
1 Age Ethnicity Boundary,1,Asian,35-39,Counties/Manukau
1 Age Ethnicity Boundary,4,Asian,35-39,Counties/Manukau
1 Age Ethnicity Boundary,1,Asian,40-44,Counties/Manukau
1 Age Ethnicity Boundary,1,Asian,40-44,Counties/Manukau
1 Age Ethnicity Boundary,1,Asian,40-44,Counties/Manukau
1 Age Ethnicity Boundary,1,Asian,40-44,Counties/Manukau
1 Age Ethnicity Boundary,2,Asian,45-49,Counties/Manukau
1 Age Ethnicity Boundary,1,Asian,50-54,Counties/Manukau
1 Age Ethnicity Boundary,1,Asian,50-54,Counties/Manukau
1 Age Ethnicity Boundary,1,Asian,50-54,Counties/Manukau
1 Age Ethnicity Boundary,1,Asian,55-59,Counties/Manukau
1 Age Ethnicity Boundary,1,Asian,65-69,Counties/Manukau
1 Age Ethnicity Boundary,1,Asian,65-69,Counties/Manukau
1 Age Ethnicity Boundary,1,Asian,35-39,Counties/Manukau
1 Age Ethnicity Boundary,1,Asian,55-59,Counties/Manukau
1 Age Ethnicity Boundary,1,Asian,25-29,Counties/Manukau
1 Age Ethnicity Boundary,1,Asian,15-19,Counties/Manukau
1 Age Ethnicity Boundary,1,Asian,15-19,Counties/Manukau
1 Age Ethnicity Boundary,1,Asian,20-24,Counties/Manukau
1 Age Ethnicity Boundary,4,Asian,25-29,Counties/Manukau
1 Age Ethnicity Boundary,1,Asian,25-29,Counties/Manukau
1 Age Ethnicity Boundary,1,Asian,25-29,Counties/Manukau
1 Age Ethnicity Boundary,1,Asian,25-29,Counties/Manukau
1 Age Ethnicity Boundary,1,Asian,30-34,Counties/Manukau
1 Age Ethnicity Boundary,1,Asian,30-34,Counties/Manukau
1 Age Ethnicity Boundary,5,Asian,35-39,Counties/Manukau
1 Age Ethnicity Boundary,1,Asian,35-39,Counties/Manukau
1 Age Ethnicity Boundary,1,Asian,35-39,Counties/Manukau
1 Age Ethnicity Boundary,1,Asian,40-44,Counties/Manukau
1 Age Ethnicity Boundary,1,Asian,40-44,Counties/Manukau
1 Age Ethnicity Boundary,1,Asian,40-44,Counties/Manukau
1 Age Ethnicity Boundary,2,Asian,40-44,Counties/Manukau
1 Age Ethnicity Boundary,1,Asian,40-44,Counties/Manukau
1 Age Ethnicity Boundary,1,Asian,45-49,Counties/Manukau
1 Age Ethnicity Boundary,1,Asian,45-49,Counties/Manukau
1 Age Ethnicity Boundary,1,Asian,45-49,Counties/Manukau
1 Age Ethnicity Boundary,3,Asian,45-49,Counties/Manukau
1 Age Ethnicity Boundary,1,Asian,45-49,Counties/Manukau
1 Age Ethnicity Boundary,1,Asian,50-54,Counties/Manukau
1 Age Ethnicity Boundary,1,Asian,55-59,Counties/Manukau
1 Age Ethnicity Boundary,2,Asian,55-59,Counties/Manukau
1 Age Ethnicity Boundary,2,Asian,55-59,Counties/Manukau
1 Age Ethnicity Boundary,1,Asian,65-69,Counties/Manukau
1 Age Ethnicity Boundary,1,Asian,20-24,Eastern
1 Age Ethnicity Boundary,1,Asian,30-34,Eastern
1 Age Ethnicity Boundary,2,Asian,20-24,Eastern
1 Age Ethnicity Boundary,2,Asian,40-44,Northland
1 Age Ethnicity Boundary,1,Asian,45-49,Northland
1 Age Ethnicity Boundary,2,Asian,50-54,Northland
1 Age Ethnicity Boundary,1,Asian,40-44,Northland
1 Age Ethnicity Boundary,1,Asian,45-49,Northland
1 Age Ethnicity Boundary,1,Asian,40-44,Southern
1 Age Ethnicity Boundary,3,Asian,25-29,Southern
1 Age Ethnicity Boundary,1,Asian,35-39,Southern
1 Age Ethnicity Boundary,1,Asian,20-24,Southern
1 Age Ethnicity Boundary,1,Asian,35-39,Southern
1 Age Ethnicity Boundary,1,Asian,45-49,Southern
1 Age Ethnicity Boundary,1,Asian,50-54,Southern
1 Age Ethnicity Boundary,1,Asian,15-19,Tasman
1 Age Ethnicity Boundary,1,Asian,35-39,Tasman
1 Age Ethnicity Boundary,1,Asian,25-29,Waikato
1 Age Ethnicity Boundary,1,Asian,40-44,Waikato
1 Age Ethnicity Boundary,1,Asian,45-49,Waikato
1 Age Ethnicity Boundary,1,Asian,60-64,Waikato
1 Age Ethnicity Boundary,1,Asian,50-54,Waikato
1 Age Ethnicity Boundary,1,Asian,25-29,Waikato
1 Age Ethnicity Boundary,1,Asian,25-29,Waikato
1 Age Ethnicity Boundary,1,Asian,30-34,Waikato
1 Age Ethnicity Boundary,1,Asian,45-49,Waikato
1 Age Ethnicity Boundary,1,Asian,15-19,Waitemata
1 Age Ethnicity Boundary,1,Asian,20-24,Waitemata
1 Age Ethnicity Boundary,1,Asian,20-24,Waitemata
1 Age Ethnicity Boundary,1,Asian,20-24,Waitemata
1 Age Ethnicity Boundary,1,Asian,25-29,Waitemata
1 Age Ethnicity Boundary,1,Asian,25-29,Waitemata
1 Age Ethnicity Boundary,1,Asian,25-29,Waitemata
1 Age Ethnicity Boundary,2,Asian,25-29,Waitemata
1 Age Ethnicity Boundary,1,Asian,30-34,Waitemata
1 Age Ethnicity Boundary,1,Asian,30-34,Waitemata
1 Age Ethnicity Boundary,4,Asian,30-34,Waitemata
1 Age Ethnicity Boundary,1,Asian,35-39,Waitemata
